ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-07-09T16:25:14Z,ios,1068,LT,78.61.198.127,Numb,Men I Trust,Numb,spotify:track:6Ijmj8Z0L31hCp5pLZnT5U,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542313,False
2024-07-09T16:25:15Z,ios,696,LT,78.61.198.127,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,spotify:track:4y1LsJpmMti1PfRQV9AWWe,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542314,False
2024-07-09T16:25:16Z,ios,1462,LT,78.61.198.127,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542315,False
2024-07-09T16:25:17Z,ios,278,LT,78.61.198.127,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,,,,,,,,backbtn,backbtn,True,True,False,1720542317,False
2024-07-09T16:25:17Z,ios,766,LT,78.61.198.127,Cha Cha Cha,Käärijä,Cha Cha Cha,spotify:track:5RX8T3EoTuXcybAxe6oPAw,,,,,,,,fwdbtn,backbtn,True,True,False,1720542316,False
2024-07-09T16:25:23Z,ios,5503,LT,78.61.198.127,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,spotify:track:4y1LsJpmMti1PfRQV9AWWe,,,,,,,,backbtn,fwdbtn,True,True,False,1720542317,False
2024-07-09T16:25:24Z,ios,928,LT,78.61.198.127,Cha Cha Cha,Käärijä,Cha Cha Cha,spotify:track:5RX8T3EoTuXcybAxe6oPAw,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542324,False
2024-07-09T16:25:24Z,ios,441,LT,78.61.198.127,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542323,False
2024-07-09T16:25:26Z,ios,1439,LT,78.61.198.127,La belle vie,Sacha Distel,Sacha Distel: Crooner,spotify:track:78OdnOhPOk19xYhGAKgjCO,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542324,False
2024-07-09T16:25:27Z,ios,1068,LT,78.61.198.127,Heart-Shaped Box,Nirvana,In Utero,spotify:track:11LmqTE2naFULdEP94AUBa,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542326,False
